Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
Poland,EASTERN EUROPE                     ,38536869,312685,123.3,-0.49,8.51,11100,99.8,306.3,45.91,9.85,9.89,0.05,0.311,0.64
Portugal,WESTERN EUROPE                     ,10605870,92391,114.8,3.57,5.05,18000,93.3,399.2,21.75,10.72,10.5,0.053,0.274,0.673
Puerto Rico,LATIN AMER. & CARIB    ,3927188,13790,284.8,-1.46,8.24,16800,94.1,283.1,3.95,12.77,7.65,0.01,0.45,0.54
Qatar,NEAR EAST                          ,885359,11437,77.4,16.29,18.61,21500,82.5,232,1.64,15.56,4.72,0.002,0.801,0.197
Reunion,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,0,7.78,5800,88.9,380.9,13.6,18.9,5.49,0.08,0.19,0.73
Romania,EASTERN EUROPE                     ,22303552,237500,93.9,-0.13,26.43,7000,98.4,196.9,40.82,10.7,11.77,0.101,0.35,0.549
Russia,C.W. OF IND. STATES ,142893540,17075200,8.4,1.02,15.39,8900,99.6,280.6,7.33,9.95,14.65,0.054,0.371,0.575
Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0,91.23,1300,70.4,2.7,40.54,40.37,16.09,0.401,0.229,0.37
Saint Helena,SUB-SAHARAN AFRICA                 ,7502,413,18.2,0,19,2500,97,293.3,12.9,12.13,6.53,,,
Saint Kitts & Nevis,LATIN AMER. & CARIB    ,39129,261,149.9,-7.11,14.49,8800,97,638.9,19.44,18.02,8.33,0.035,0.258,0.707
Saint Lucia,LATIN AMER. & CARIB    ,168458,616,273.5,-2.67,13.53,5400,67,303.3,6.56,19.68,5.08,0.07,0.2,0.73
St Pierre & Miquelon,NORTHERN AMERICA                   ,7026,242,29,-4.86,7.54,6900,99,683.2,13.04,13.52,6.83,,,
Saint Vincent and the Grenadines,LATIN AMER. & CARIB    ,117848,389,303,-7.64,14.78,2900,96,190.9,17.95,16.18,5.98,0.1,0.26,0.64
Samoa,OCEANIA                            ,176908,2944,60.1,-11.7,27.71,5600,99.7,75.2,21.2,16.43,6.62,0.114,0.584,0.302
San Marino,WESTERN EUROPE                     ,29251,61,479.5,10.98,5.73,34600,96,704.3,16.67,10.02,8.17,,,
Sao Tome & Principe,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,-2.72,43.11,1200,79.3,36.2,6.25,40.25,6.47,0.167,0.148,0.684
Saudi Arabia,NEAR EAST                          ,27019731,1960582,13.8,-2.71,13.24,11800,78.8,140.6,1.67,29.34,2.58,0.033,0.613,0.354
